,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
9188,2025,2,FT,Data Scientist,49978,US,0,US,2
9190,2025,3,FT,Engineer,132000,US,0,US,2
9192,2025,3,FT,Software Engineer,150000,US,100,US,2
9193,2025,2,FT,Analyst,172500,US,100,US,2
9194,2025,2,FT,Analyst,123200,US,100,US,2
9195,2025,1,FT,Research Analyst,145000,US,100,US,2
9196,2025,1,FT,Research Analyst,94000,US,100,US,2
9198,2025,3,FT,Manager,120000,US,0,US,2
9200,2025,3,FT,Product Manager,157900,US,0,US,2
9201,2025,3,FT,Product Manager,175000,CA,0,CA,2
9202,2025,3,FT,Product Manager,120000,CA,0,CA,2
9206,2025,2,FT,Analyst,70000,US,0,US,2
9207,2025,3,FT,Systems Engineer,280000,US,0,US,2
9210,2025,3,FT,Software Engineer,134000,US,0,US,2
9211,2025,3,FT,Engineer,140000,CA,0,CA,2
9212,2025,3,FT,Engineer,110000,CA,0,CA,2
9215,2025,2,FT,Other,92207,AU,50,AU,3
9216,2025,2,FT,Manager,187100,US,0,US,3
9217,2025,2,FT,Manager,138300,US,0,US,3
9218,2025,2,FT,Platform Engineer,143000,US,0,US,2
9219,2025,2,FT,Platform Engineer,109000,US,0,US,2
9220,2025,2,FT,Decision Scientist,98526,LT,0,LT,2
9221,2025,2,FT,Decision Scientist,30315,LT,0,LT,2
9223,2025,2,FT,Manager,92000,US,0,US,2
9226,2025,3,FT,Data Architect,165000,US,100,US,2
9228,2025,2,FT,Analytics Engineer,71578,NL,0,NL,2
9229,2025,2,FT,Analytics Engineer,52842,NL,0,NL,2
9231,2025,2,FT,Data Scientist,75000,US,0,US,2
9232,2025,3,FT,Backend Engineer,104421,DE,0,DE,2
9233,2025,3,FT,Backend Engineer,77263,DE,0,DE,2
9234,2025,3,FT,Analytics Engineer,235000,US,0,US,2
9235,2025,3,FT,Analytics Engineer,195000,US,0,US,2
9236,2025,2,FT,Data Operations,175000,US,0,US,2
9237,2025,2,FT,Data Operations,135000,US,0,US,2
9238,2025,2,FT,Engineering Manager,275000,US,100,US,2
9242,2025,2,FT,Software Engineer,99000,US,100,US,2
9243,2025,2,FT,Software Engineer,85000,US,100,US,2
9244,2025,2,FT,Software Engineer,84000,US,100,US,2
9245,2025,2,FT,Software Engineer,72000,US,100,US,2
9246,2025,3,FT,Software Engineer,118000,US,100,US,2
9247,2025,3,FT,Software Engineer,101000,US,100,US,2
9250,2025,3,FT,Backend Engineer,440000,US,0,US,2
9252,2025,3,FT,Analyst,105740,AU,0,AU,2
9253,2025,3,FT,Analyst,97009,AU,0,AU,2
9256,2025,3,FT,ML Scientist,139285,CA,100,CA,2
9257,2025,3,FT,ML Scientist,117857,CA,100,CA,2
9258,2025,3,FT,ML Scientist,205000,US,100,US,2
9259,2025,3,FT,ML Scientist,165000,US,100,US,2
9260,2025,1,FT,BI Analyst,99000,US,0,US,2
9261,2025,1,FT,BI Analyst,60000,US,0,US,2
9266,2025,3,FT,AI Engineer,100000,BR,100,BR,2
9267,2025,3,FT,AI Engineer,75000,BR,100,BR,2
9270,2025,3,FT,Machine Learning Engineer,166000,US,0,US,2
9271,2025,3,FT,Machine Learning Engineer,114000,US,0,US,2
9272,2025,3,FT,Machine Learning Engineer,514000,US,0,US,2
9274,2025,3,FT,Machine Learning Engineer,650000,US,0,US,2
9276,2025,3,FT,Machine Learning Engineer,325000,US,0,US,2
9277,2025,3,FT,Machine Learning Engineer,225000,US,0,US,2
9278,2025,3,FT,Prompt Engineer,294000,US,0,US,2
9280,2025,3,FT,Product Manager,92210,LT,0,LT,2
9281,2025,3,FT,Product Manager,58484,LT,0,LT,2
9282,2025,3,FT,Analyst,103700,US,0,US,2
9283,2025,3,FT,Analyst,62000,US,0,US,2
9288,2025,2,FT,Applied Scientist,199500,US,0,US,2
9289,2025,2,FT,Applied Scientist,97500,US,0,US,2
9290,2025,3,FT,Applied Scientist,199500,US,0,US,2
9291,2025,3,FT,Applied Scientist,97500,US,0,US,2
9292,2025,1,FT,Data Analyst,43037,GB,0,GB,2
9293,2025,1,FT,Data Analyst,35443,GB,0,GB,2
9296,2025,3,FT,Business Intelligence Developer,137093,US,0,US,2
9297,2025,3,FT,Business Intelligence Developer,85696,US,0,US,2
9298,2025,3,FT,Software Developer,223400,US,0,US,2
9299,2025,3,FT,Software Developer,96800,US,0,US,2
9300,2025,3,FT,Engineering Manager,329600,US,0,US,2
9301,2025,3,FT,Engineering Manager,190700,US,0,US,2
9304,2025,3,FT,Research Scientist,200200,US,0,US,2
9305,2025,3,FT,Research Scientist,187178,US,0,US,2
9306,2025,3,FT,Software Engineer,240240,US,0,US,2
9307,2025,3,FT,Software Engineer,212748,US,0,US,2
9308,2025,3,FT,Engineer,258000,US,0,US,2
9309,2025,3,FT,Engineer,174000,US,0,US,2
9310,2025,3,FT,Manager,153200,CA,0,CA,2
9311,2025,3,FT,Manager,102200,CA,0,CA,2
9312,2025,2,FT,Software Developer,178100,US,0,US,2
9313,2025,2,FT,Software Developer,79000,US,0,US,2
9314,2025,3,FT,Analyst,118450,CA,0,CA,2
9315,2025,3,FT,Analyst,71070,CA,0,CA,2
9316,2025,2,FT,Software Engineer,264200,US,0,US,2
9317,2025,2,FT,Software Engineer,143100,US,0,US,2
9322,2025,3,FT,Analyst,190650,US,0,US,2
9323,2025,3,FT,Analyst,116500,US,0,US,2
9328,2025,3,FT,Engineer,296300,US,0,US,2
9329,2025,3,FT,Engineer,166600,US,0,US,2
9331,2025,3,FT,Engineer,117200,US,0,US,2
9332,2025,3,FT,Manager,322875,US,0,US,2
9333,2025,3,FT,Manager,193725,US,0,US,2
9334,2025,3,FT,Software Engineer,235000,US,100,US,2
9335,2025,3,FT,Software Engineer,146300,US,100,US,2
9336,2025,1,FT,Data Analyst,91571,US,0,US,2
9337,2025,1,FT,Data Analyst,67683,US,0,US,2
9338,2025,1,FT,Data Analyst,42947,SK,0,SK,2
9339,2025,1,FT,Data Analyst,26526,SK,0,SK,2
9342,2025,1,FT,Data Analyst,54736,DE,0,DE,2
9343,2025,1,FT,Data Analyst,41052,DE,0,DE,2
9344,2025,2,FT,Data Scientist,206250,US,100,US,2
9345,2025,2,FT,Data Scientist,93750,US,100,US,2
9346,2025,3,FT,Data Scientist,375000,US,100,US,2
9348,2025,3,FT,Data Scientist,270400,US,0,US,2
9349,2025,3,FT,Data Scientist,180200,US,0,US,2
9354,2025,3,FT,Architect,259500,US,0,US,2
9355,2025,3,FT,Architect,121700,US,0,US,2
9356,2025,3,FT,Architect,230600,US,0,US,2
9357,2025,3,FT,Architect,107300,US,0,US,2
9359,2025,3,FT,Data Architect,98100,US,0,US,2
9360,2025,1,FT,Data Architect,100000,US,0,US,2
9361,2025,1,FT,Data Architect,85000,US,0,US,2
9362,2025,3,FT,Manager,110000,US,100,US,2
9363,2025,3,FT,Manager,90000,US,100,US,2
9364,2025,2,FT,Data Engineer,175000,US,0,US,2
9365,2025,2,FT,Data Engineer,102500,US,0,US,2
9366,2025,3,FT,Associate,113000,CA,0,CA,2
9367,2025,3,FT,Associate,62000,CA,0,CA,2
9370,2025,3,FT,Machine Learning Scientist,202500,US,100,US,2
9371,2025,3,FT,Machine Learning Scientist,121500,US,100,US,2
9372,2025,2,FT,Manager,168946,US,0,US,2
9373,2025,2,FT,Manager,122870,US,0,US,2
9375,2025,1,FT,Analyst,85000,US,0,US,2
9376,2025,2,FT,Research Scientist,154960,US,0,US,2
9377,2025,2,FT,Research Scientist,86320,US,0,US,2
9378,2025,2,FT,Research Engineer,130000,US,100,US,2
9379,2025,2,FT,Research Engineer,105000,US,100,US,2
9383,2025,3,FT,Software Engineer,150100,US,0,US,2
9384,2025,3,FT,Engineer,129036,US,0,US,2
9385,2025,3,FT,Engineer,86028,US,0,US,2
9386,2025,3,FT,Data Engineer,51789,SK,0,SK,2
9387,2025,3,FT,Data Engineer,30315,SK,0,SK,2
9390,2025,2,FT,Engineer,56250,US,0,US,2
9391,2025,2,FT,Engineer,50000,US,0,US,2
9393,2025,1,FT,Analyst,44000,US,0,US,2
9394,2025,2,FT,Associate,176600,US,0,US,2
9395,2025,2,FT,Associate,118700,US,0,US,2
9396,2025,2,FT,Data Scientist,147900,US,100,US,2
9397,2025,2,FT,Data Scientist,79091,US,100,US,2
9398,2025,3,FT,Decision Scientist,170000,US,100,US,2
9399,2025,3,FT,Decision Scientist,150000,US,100,US,2
9400,2025,3,FT,Architect,194180,US,0,US,2
9401,2025,3,FT,Architect,115590,US,0,US,2
9402,2025,3,FT,Manager,178100,US,0,US,2
9403,2025,3,FT,Manager,106400,US,0,US,2
